"Date","Open","High","Low","Close","TotalVolume"
2016/6/20,164.50,165.00,163.00,163.00,24916
2016/6/21,164.00,165.50,163.50,165.50,28003
2016/6/22,164.50,166.00,163.50,166.00,30366
2016/6/23,165.50,166.00,164.00,164.00,22556
2016/6/24,164.00,164.00,154.50,159.00,86955
2016/6/27,154.50,156.00,154.00,155.50,42891
2016/6/28,155.50,157.50,155.00,157.00,38796
2016/6/29,158.50,160.00,158.00,159.00,31551
2016/6/30,161.00,163.00,159.50,162.50,42423
2016/7/1,164.50,166.00,163.50,166.00,36237
2016/7/4,165.50,166.50,164.50,166.00,25791
2016/7/5,165.00,165.50,164.00,164.00,16400
2016/7/6,163.00,163.00,160.50,161.50,34855
2016/7/7,163.50,165.00,163.00,164.50,23796
2016/7/11,170.00,170.50,168.50,170.00,50993
2016/7/12,171.00,171.50,169.50,171.00,41982
2016/7/13,169.50,170.00,167.00,168.50,50693
2016/7/14,167.00,170.00,167.00,169.00,34890
2016/7/15,168.00,169.50,166.50,169.50,41587
2016/7/18,168.00,170.00,168.00,169.50,24749
2016/7/19,170.50,170.50,169.00,170.50,42456
2016/7/20,170.00,170.50,169.00,170.00,38053
2016/7/21,171.00,172.00,170.00,172.00,33130
2016/7/22,172.00,172.00,170.50,171.00,28504
2016/7/25,172.00,173.00,169.00,171.50,27145
2016/7/26,172.00,173.00,171.50,173.00,32685
2016/7/27,175.00,176.00,174.50,175.00,34117
2016/7/28,175.00,176.50,173.00,176.50,31071
2016/7/29,177.00,177.00,172.50,172.50,29795
2016/8/1,175.00,177.00,174.50,177.00,34188
2016/8/2,177.50,177.50,175.50,176.00,15250
2016/8/3,172.50,174.00,172.00,172.50,21627
2016/8/4,173.00,174.50,172.50,174.50,13612
2016/8/5,175.00,177.50,174.00,177.00,25759
2016/8/8,178.00,178.00,176.50,178.00,16200
2016/8/9,178.50,179.50,177.00,178.50,16413
2016/8/10,179.00,179.50,178.00,179.50,19279
2016/8/11,177.50,178.00,175.50,176.50,28180
2016/8/12,178.50,178.50,177.00,177.50,22947
2016/8/15,178.50,179.00,177.50,179.00,12020
2016/8/16,178.00,179.00,175.00,175.50,34260
2016/8/17,177.00,177.50,176.00,177.00,21487
2016/8/18,176.00,176.50,175.00,176.00,27253
2016/8/19,177.00,177.50,174.00,174.50,23470
2016/8/22,173.00,174.00,171.50,173.00,21273
2016/8/23,174.00,175.00,173.50,174.00,20886
2016/8/24,175.00,175.50,173.50,173.50,12086
2016/8/25,175.00,177.00,174.50,177.00,23858
2016/8/26,175.00,177.00,175.00,177.00,15066
2016/8/29,175.00,177.00,174.00,176.50,16953
2016/8/30,176.00,176.50,174.00,174.50,19337
2016/8/31,176.50,177.00,174.50,176.00,38462
2016/9/1,176.00,176.00,173.00,173.50,22686
2016/9/2,176.50,176.50,174.00,174.50,16975
2016/9/5,176.50,177.50,176.50,176.50,22369
2016/9/6,177.00,179.00,176.50,179.00,25998
2016/9/7,180.50,185.00,180.00,184.00,49733
2016/9/8,182.50,184.50,182.50,183.00,30154
2016/9/9,181.00,181.00,179.50,179.50,29771
2016/9/10,177.00,179.00,176.00,178.00,15452
2016/9/12,177.50,177.50,174.00,175.00,42634
2016/9/13,176.50,176.50,173.50,175.00,36790
2016/9/14,174.00,176.00,173.50,173.50,52845
2016/9/19,179.50,183.00,178.50,182.50,56959
2016/9/20,182.00,183.50,181.50,183.00,23611
2016/9/21,181.00,184.00,180.50,184.00,24950
2016/9/22,185.00,185.50,183.50,185.50,20954
2016/9/23,185.00,187.50,184.50,187.50,23073
2016/9/26,183.50,185.00,183.00,183.00,23097
2016/9/29,185.50,187.50,185.50,185.50,54236
2016/9/30,185.50,186.50,182.50,182.50,42492
2016/10/3,186.00,186.50,184.50,186.00,17678
2016/10/4,185.00,187.00,185.00,187.00,16825
2016/10/5,186.00,186.00,184.50,186.00,19124
2016/10/6,185.00,187.50,185.00,187.50,15456
2016/10/7,188.00,188.00,186.00,188.00,15000
2016/10/11,191.00,191.00,186.00,187.50,30274
2016/10/12,186.50,190.00,186.00,189.50,22556
2016/10/13,190.50,191.00,187.00,188.50,37382
2016/10/14,187.00,189.00,186.50,188.00,33216
2016/10/17,186.50,187.50,185.00,186.50,37310
2016/10/18,186.50,187.00,185.50,187.00,38000
2016/10/19,187.50,189.50,187.50,189.50,33250
2016/10/20,189.50,190.50,189.00,190.50,13186
2016/10/21,191.00,192.00,188.50,188.50,21924
2016/10/24,191.00,191.00,189.50,191.00,13447
2016/10/25,192.00,193.00,191.00,193.00,18832
2016/10/26,190.50,192.50,190.50,191.50,21023
2016/10/27,191.50,191.50,188.50,188.50,26183
2016/10/28,189.50,190.00,188.50,189.50,24332
2016/10/31,189.00,190.50,186.50,188.50,25306
2016/11/1,188.50,189.50,187.50,189.50,14260
2016/11/2,187.50,188.00,186.00,186.00,16418
2016/11/3,185.50,186.50,184.50,184.50,25002
2016/11/4,184.50,186.00,184.00,184.50,14842
2016/11/7,186.50,189.00,186.00,189.00,21332
2016/11/8,190.00,190.00,188.00,188.50,15437
2016/11/9,190.00,190.50,182.00,182.00,55541
2016/11/10,187.00,188.00,185.50,185.50,38234
2016/11/11,181.50,183.00,181.00,181.50,67603
2016/11/14,181.00,182.00,180.00,180.50,47999
2016/11/15,179.50,182.00,179.00,180.00,33505
2016/11/16,180.50,183.00,180.00,180.00,34833
2016/11/17,182.00,182.50,180.50,181.50,22434
2016/11/18,181.50,181.50,180.00,181.00,22474
2016/11/21,180.50,181.50,180.00,181.00,15600
2016/11/22,182.00,185.00,181.50,184.00,27599
2016/11/23,184.50,186.50,184.00,185.50,22128
2016/11/24,184.00,185.00,183.00,183.00,14980
2016/11/25,182.50,183.50,182.00,182.00,10116
2016/11/28,181.50,184.00,181.50,184.00,19108
2016/11/29,183.50,185.00,182.00,182.00,24408
2016/11/30,181.50,183.00,181.50,183.00,39671
2016/12/1,182.00,183.00,181.50,183.00,13908
2016/12/2,179.00,179.50,178.00,178.00,53836
2016/12/5,178.00,180.00,178.00,179.00,29200
2016/12/6,181.00,183.00,180.50,182.00,27309
2016/12/7,183.00,183.50,181.50,181.50,14110
2016/12/8,184.00,185.50,183.00,185.50,27257
2016/12/9,186.00,186.00,184.50,186.00,24867
2016/12/12,186.00,187.00,184.00,185.00,18796
2016/12/13,186.50,186.50,184.50,186.00,23591
2016/12/14,186.50,187.50,185.50,187.50,16571
2016/12/15,185.00,187.50,184.50,187.00,22803
2016/12/16,185.50,187.00,185.00,185.00,35985
2016/12/19,184.00,184.50,182.50,182.50,20535
2016/12/20,181.00,182.50,180.00,182.50,24139
2016/12/21,181.00,182.00,180.00,180.00,29690
2016/12/22,180.00,180.50,179.00,179.00,26269
2016/12/23,179.00,180.00,178.50,178.50,22961
2016/12/26,179.00,180.00,179.00,179.50,5675
2016/12/27,180.00,180.50,179.50,180.00,8252
2016/12/28,181.00,182.00,180.50,182.00,21226
2016/12/29,180.00,181.50,180.00,180.00,30200
2016/12/30,181.00,182.50,180.00,181.50,36610
2017/1/3,181.50,183.50,181.00,183.00,22630
2017/1/4,183.00,184.00,181.50,183.00,24369
2017/1/5,182.00,183.50,181.50,183.50,20979
2017/1/6,184.00,184.50,183.50,184.00,22443
2017/1/9,184.00,185.00,183.00,184.00,18569
2017/1/10,184.50,185.50,183.50,184.00,20198
2017/1/11,185.00,185.00,181.50,182.00,29107
2017/1/12,182.50,185.50,182.50,184.50,41130
2017/1/13,180.50,182.50,180.50,181.50,52352
2017/1/16,180.00,180.50,179.00,179.50,30756
2017/1/17,180.50,181.00,179.50,181.00,13159
2017/1/18,180.50,181.00,179.50,181.00,23693
2017/1/19,179.50,181.00,179.50,180.50,24627
2017/1/20,181.00,181.50,180.50,181.00,23429
2017/1/23,182.50,185.00,182.50,185.00,36992
2017/1/24,185.00,186.50,184.50,185.50,55022
2017/2/2,188.00,188.50,184.00,184.50,94089
2017/2/3,186.00,186.00,183.50,184.50,29518
2017/2/6,184.50,185.50,184.00,184.50,24779
2017/2/7,183.50,185.00,183.00,184.50,23616
2017/2/8,183.50,184.50,183.00,183.50,29168
2017/2/9,184.00,185.50,183.50,184.00,18967
2017/2/10,184.50,185.50,184.00,185.50,34747
2017/2/13,186.50,188.00,186.50,187.50,25124
2017/2/14,189.00,190.00,187.50,187.50,45696
2017/2/15,187.00,189.50,186.50,189.00,39347
2017/2/16,190.00,190.50,188.00,189.00,27018
2017/2/17,190.00,190.50,189.00,189.50,20389
2017/2/18,190.00,190.50,189.50,189.50,3494
2017/2/20,190.00,190.50,189.50,190.00,13254
2017/2/21,190.00,190.00,188.50,190.00,31159
2017/2/22,190.50,191.00,188.50,188.50,25677
2017/2/23,188.00,189.50,187.00,188.50,35725
2017/2/24,187.50,190.50,187.50,189.00,22766
2017/3/1,188.50,188.50,186.00,186.00,46186
2017/3/2,188.00,188.50,185.00,186.00,39980
2017/3/3,184.50,185.00,184.00,184.00,28197
2017/3/6,184.00,184.50,183.50,183.50,12531
2017/3/7,184.00,185.50,184.00,185.50,18812
2017/3/8,186.00,188.00,185.50,187.00,31791
2017/3/9,185.50,186.00,184.00,184.50,28489
2017/3/10,184.00,184.50,183.00,183.50,20053
2017/3/13,185.00,186.50,185.00,186.50,10487
2017/3/14,188.00,188.00,186.00,186.00,22245
2017/3/15,185.50,187.00,185.50,186.50,14131
2017/3/16,188.00,190.00,188.00,190.00,31507
2017/3/17,189.50,191.50,189.00,191.50,33764
2017/3/20,191.50,191.50,189.50,191.50,16215
2017/3/21,192.00,195.00,191.50,195.00,32246
2017/3/22,192.50,193.50,191.50,193.50,27396
2017/3/23,192.00,193.50,192.00,193.50,18472
2017/3/24,192.00,193.00,192.00,192.50,17541
2017/3/27,194.50,194.50,192.00,193.00,29251
2017/3/28,195.00,195.00,192.50,194.50,38259
2017/3/29,194.50,194.50,191.00,191.50,33374
2017/3/30,192.50,193.00,190.50,191.50,28302
2017/3/31,191.00,192.00,189.00,189.00,33635
2017/4/5,189.50,193.00,189.50,193.00,43748
2017/4/6,193.00,193.00,191.00,191.50,16173
2017/4/7,192.00,192.00,188.50,191.00,18911
2017/4/10,191.00,191.50,189.50,190.00,17024
2017/4/11,190.00,191.00,189.00,191.00,8441
